state(s),date,time,dead,inj,yards,miles,F,counties
IA,05311899,0015,0,1,70,7,F2,IOWA /JOHNSON
IA,06131899,1600,0,,,7,F2,KOSSUTH
IA,06131899,1600,0,0,,,F2,PALO ALTO
IA,09251900,1945,0,0,200,5,F2,TAYLOR
IA,09251900,2000,0,6,25,2,F2,UNION
IA,09251900,2015,2,11,70,6,F3,MARSHALL
IA,05011902,1645,0,5,100,15,F3,DECATUR /CLARKE /LUCAS
IA,05011902,,0,1,,15,F2,GUTHRIE /GREENE
IA,05191902,1730,,,150,3,F2,AUDUBON
IA,07051902,1800,0,1,50,s25,F2,MONONA /WOODBURY
IA,07081902,1630,1,5,,16,F2,IOWA /JOHNSON
IA,04111903,1630,0,1,100,2,F2,CALHOUN
IA,05241903,1730,1,7,200,3,F2,POCAHONTAS
IA,05261903,1645,0,8,,3,F2,UNION
IA,05261903,1800,2,,,5,F3,POLK
IA,05261903,2100,0,0,,12,F2,FREMONT /MILLS
IA,05261903,2130,2,11,100,2,F2,MONROE /MAHASKA
IA,05251906,1700,0,1,100,7,F3,MONONA
IA-MN,06061906,1645,0,3,100,15,F3,WINNESHIEK. IA /HOUSTON. MN
IA,03281907,1830,0,1,,25,F3,RINGGOLD /DECATUR
IA,06091907,1600,0,0,,,F2,MARION
IA,08061907,1630,3,10,200,12,F4,WINNEBAGO /WORTH
IA,08061907,,0,1,30,4,F2,CERRO GORDO
IA,08161907,,0,0,,14,F2,UNION /CLARKE
IA,03271908,1830,0,0,70,,F2,LEE
IA,04231908,1630,0,1,100,10,F3,LYON
IA,05111908,1315,0,0,50,9,F2,DUBUQUE /DELAWARE
IA,05111908,1320,0,0,100,3,F2,MUSCATINE
IA,05211908,0845,1,0,50,8,F1,MONROE
IA,05241908,1345,0,0,10,,F2,POTTAWATTAMIE
IA,06071908,1340,0,0,70,5,F2,LINN /CEDAR /JONES
IA,06071908,1650,1,10,100,11,F3,FLOYD
IA,07111909,1810,0,4,70,5,F2,CHEROKEE /IDA
IA,04031910,2310,0,0,20,0.2,F2,POLK
IA,09061911,1445,0,1,100,s20,F2,MADISON
IA,11111911,1255,0,1,20,9,F2,SCOTT
IA,04131912,1600,0,2,50,8,F3,BOONE
IA,04021913,1800,0,0,150,6,F2,MADISON
IA,06051914,1730,0,0,100,15,F2,SIOUX /O’BRIEN
IA,06051914,1800,3,20,200,12,F3,O’BRIEN /OSCEOLA
IA,06121915,1615,0,1,100,12,F4,FAYETTE /CLAYTON
IA-WI,06121915,1720,9,50,400,30,F4,ALLAMAKEE /CRAWFORD WI
IA,07101915,2300,1,5,,,F2,HENRY
IA,04191916,1800,0,0,30,0.5,F2,WRIGHT
IA,05211916,1500,0,1,50,7,F2,MARION
IA,05211916,1545,0,0,100,10,F2,JASPER
IA,05211916,1600,0,1,,4,F2,POLK
IA,09261916,1900,0,0,,4,F2,TAYLOR /RINGGOLD
IA,09261916,2100,0,0,,23,F3,PAGE /TAYLOR
IA,06121917,1700,0,1,50,4,F2,JONES
IA,05081918,2100,0,0,,9,F2,HAMILTON
IA,05091918,1600,1,5,400,13,F3,BUTLER /CHICKASAW
IA,05091918,1630,7,15,400,50,F4,FLOYD /CHICKASAW /WINNESHIEK
IA,05091918,1730,0,7,250,10,F3,MUSCATINE
IA,05091918,1730,1,21,200,8,F3,SCOTT
IA,05191918,1830,2,2,,2,F2,SCOTT
IA,05211918,1415,1,4,200,4,F3,CRAWFORD
IA,05211918,1430,4,30,800,37,F5,CRAWFORD /CARROLL /GREENE
IA,05211918,1515,0,0,100,2,F2,JASPER
IA,05211918,1530,2,15,500,32,F3,CARROLL /GREENE /WEBSTER
IA,05211918,1545,9,70,1600,30,F4,BOONE /STORY
IA,05211918,1600,1,10,200,20,F2,JASPER
IA,05211918,1610,0,5,100,25,F3,WEBSTER /HAMILTON
IA,05211918,1615,0,0,,8,F2,BOONE
IA,05211918,1630,0,0,100,5,F2,HAMILTON
IA,05211918,1640,0,5,1000,15,F3,HAMILTON /HARDIN
IA,05211918,1715,1,4,,8,F3,HARDIN
IA,05211918,1720,0,5,500,13,F3,HARDIN /GRUNDY
IA,05211918,1800,0,0,,,F2,MARSHALL
IA,05211918,1800,0,0,,,F2,TAMA
IA,05211918,1800,0,0,70,14,F2,TAMA
